"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Ervaren gezondheid (goed/zeer goed) (%)";"Bewegen/Voldoet aan beweegrichtlijn (%)";"Onder- en overgewicht/Mate van overgewicht/Ernstig overgewicht (%)";"Roker (%)";"Alcoholgebruik/Voldoet aan alcohol richtlijn (%)";"Alcoholgebruik/Drinker (%)";"Alcoholgebruik/Zware drinker (%)";"Alcoholgebruik/Overmatige drinker (%)";"Lichamelijke gezondheid/Eén of meer langdurige aandoeningen (%)";"Psychische klachten (%)";"Veerkracht/(Zeer) lage veerkracht (%)";"Hoog risico op angst of depressie (%)";"Eenzaamheid/Ernstig/zeer ernstig eenzaam (%)"
"18 jaar of ouder";"Waarde";"2022";"Nederland";"Nederland                               ";"Land      ";"NL01                ";"    69.0";"    46.8";"    16.5";"    18.0";"    43.1";"    77.7";"    10.4";"     7.2";"    33.4";"    22.2";"    17.3";"    10.2";"    14.4"
"18 jaar of ouder";"Waarde";"2022";"Krimpenerwaard";"Krimpenerwaard                          ";"Gemeente  ";"GM1931              ";"    71.7";"    42.2";"    16.8";"    15.1";"    46.8";"    78.3";"     8.9";"     6.6";"    31.6";"    18.6";"    15.3";"     8.0";"    11.5"
"18 jaar of ouder";"Waarde";"2022";"Wijk 00 Lekkerkerk";"Krimpenerwaard                          ";"Wijk      ";"WK193100            ";"    70.9";"    40.7";"    17.5";"    15.2";"    47.5";"    78.0";"     8.7";"     6.6";"    32.8";"    18.7";"    15.6";"     8.0";"    11.8"
"18 jaar of ouder";"Waarde";"2022";"Tiendhoek";"Krimpenerwaard                          ";"Buurt     ";"BU19310000          ";"    73.3";"    42.5";"    16.9";"    15.8";"    45.0";"    80.0";"     9.3";"     6.5";"    31.1";"    18.2";"    14.9";"     7.8";"    11.2"
"18 jaar of ouder";"Waarde";"2022";"Schuwacht";"Krimpenerwaard                          ";"Buurt     ";"BU19310001          ";"    76.3";"    42.4";"    15.2";"    12.6";"    42.4";"    82.0";"    10.2";"     7.5";"    29.6";"    14.4";"    12.3";"     5.6";"     8.0"
"18 jaar of ouder";"Waarde";"2022";"Opperduit";"Krimpenerwaard                          ";"Buurt     ";"BU19310002          ";"    75.7";"    42.2";"    14.8";"    12.8";"    42.5";"    82.3";"     9.8";"     7.7";"    28.1";"    15.4";"    12.6";"     5.8";"     8.5"
"18 jaar of ouder";"Waarde";"2022";"Tiendweg-West";"Krimpenerwaard                          ";"Buurt     ";"BU19310003          ";"    74.9";"    43.6";"    13.1";"    13.2";"    44.9";"    81.1";"     9.7";"     7.8";"    30.9";"    15.8";"    13.1";"     6.5";"     9.8"
"18 jaar of ouder";"Waarde";"2022";"Lekkerkerk-Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310004          ";"    70.4";"    40.6";"    19.2";"    16.8";"    46.0";"    78.9";"     8.8";"     6.1";"    32.1";"    20.0";"    15.9";"     9.0";"    12.3"
"18 jaar of ouder";"Waarde";"2022";"Prinsessenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310005          ";"    70.2";"    40.1";"    17.3";"    13.6";"    48.3";"    77.7";"     8.8";"     6.7";"    33.2";"    18.3";"    15.5";"     7.7";"    12.0"
"18 jaar of ouder";"Waarde";"2022";"Koninginnenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310006          ";"    67.4";"    38.6";"    18.6";"    15.5";"    50.8";"    75.2";"     8.0";"     6.5";"    36.2";"    20.1";"    17.1";"     8.7";"    13.1"
