"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Ervaren gezondheid (goed/zeer goed) (%)";"Bewegen/Voldoet aan beweegrichtlijn (%)";"Onder- en overgewicht/Mate van overgewicht/Ernstig overgewicht (%)";"Roker (%)";"Alcoholgebruik/Voldoet aan alcohol richtlijn (%)";"Alcoholgebruik/Drinker (%)";"Alcoholgebruik/Zware drinker (%)";"Alcoholgebruik/Overmatige drinker (%)";"Lichamelijke gezondheid/Eén of meer langdurige aandoeningen (%)";"Psychische klachten (%)";"Veerkracht/(Zeer) lage veerkracht (%)";"Hoog risico op angst of depressie (%)";"Eenzaamheid/Ernstig/zeer ernstig eenzaam (%)"
"18 jaar of ouder";"Waarde";"2022";"Wibautsraat en Lorentzweg";"Krimpenerwaard                          ";"Buurt     ";"BU19310007          ";"    64.3";"    38.1";"    20.5";"    19.9";"    54.5";"    69.6";"     7.9";"     5.9";"    35.7";"    24.5";"    21.0";"    11.6";"    16.3"
"18 jaar of ouder";"Waarde";"2022";"Molenwerf en omstreken";"Krimpenerwaard                          ";"Buurt     ";"BU19310008          ";"    68.1";"    37.9";"    19.1";"    13.5";"    51.4";"    74.5";"     7.2";"     5.9";"    36.3";"    17.8";"    16.3";"     7.2";"    12.0"
"18 jaar of ouder";"Waarde";"2022";"Voorstraat en Centrum";"Krimpenerwaard                          ";"Buurt     ";"BU19310009          ";"    72.8";"    41.5";"    15.2";"    13.5";"    46.6";"    80.7";"     8.0";"     6.9";"    33.4";"    16.9";"    13.7";"     6.5";"    10.8"
"18 jaar of ouder";"Waarde";"2022";"Industrieterrein";"Krimpenerwaard                          ";"Buurt     ";"BU19310010          ";"    70.4";"    47.3";"     9.5";"    12.1";"    52.8";"    73.8";"    10.2";"     7.2";"    19.5";"    20.0";"    17.8";"     4.8";"     7.4"
"18 jaar of ouder";"Waarde";"2022";"Verspr. huizen Lekkerkerk";"Krimpenerwaard                          ";"Buurt     ";"BU19310011          ";"    79.8";"    46.9";"    13.4";"    11.9";"    44.8";"    82.1";"     9.4";"     7.0";"    24.3";"    14.2";"    11.7";"     5.7";"     7.4"
"18 jaar of ouder";"Waarde";"2022";"Wijk 01 Krimpen aan de Lek";"Krimpenerwaard                          ";"Wijk      ";"WK193101            ";"    70.5";"    39.9";"    17.9";"    16.1";"    46.9";"    78.6";"     8.7";"     6.4";"    32.9";"    19.6";"    16.0";"     8.3";"    12.3"
"18 jaar of ouder";"Waarde";"2022";"Hoofdstraat";"Krimpenerwaard                          ";"Buurt     ";"BU19310100          ";"    68.4";"    38.0";"    18.9";"    17.3";"    47.5";"    77.6";"     8.9";"     6.4";"    34.5";"    20.9";"    17.2";"     9.1";"    13.2"
"18 jaar of ouder";"Waarde";"2022";"Binnen Krimpen";"Krimpenerwaard                          ";"Buurt     ";"BU19310101          ";"    68.6";"    39.0";"    18.8";"    16.5";"    49.1";"    76.0";"     8.4";"     6.1";"    33.3";"    20.8";"    17.4";"     9.1";"    13.0"
"18 jaar of ouder";"Waarde";"2022";"Beroepenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310102          ";"    70.0";"    40.3";"    18.8";"    18.6";"    46.4";"    79.0";"     9.4";"     6.7";"    32.6";"    21.3";"    17.3";"     9.8";"    13.3"
"18 jaar of ouder";"Waarde";"2022";"Krimpen-Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310103          ";"    75.7";"    42.1";"    13.5";"    11.2";"    44.3";"    83.5";"     7.6";"     6.9";"    31.5";"    14.6";"    11.6";"     4.8";"     8.8"
"18 jaar of ouder";"Waarde";"2022";"Zaag";"Krimpenerwaard                          ";"Buurt     ";"BU19310104          ";"    70.6";"    39.3";"    16.6";"    15.1";"    45.4";"    80.4";"     8.1";"     7.5";"    36.1";"    21.7";"    13.1";"     7.0";"    11.4"
"18 jaar of ouder";"Waarde";"2022";"Tiendweg Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310105          ";"    73.0";"    42.1";"    17.2";"    14.6";"    45.4";"    80.3";"     8.6";"     6.7";"    32.3";"    17.9";"    14.6";"     7.3";"    10.8"
"18 jaar of ouder";"Waarde";"2022";"Krimpen Centrum";"Krimpenerwaard                          ";"Buurt     ";"BU19310106          ";"    69.3";"    38.8";"    18.0";"    13.1";"    48.5";"    78.5";"     7.6";"     6.3";"    34.8";"    16.9";"    14.6";"     6.4";"    11.3"
"18 jaar of ouder";"Waarde";"2022";"Industrieterrein Krimpen";"Krimpenerwaard                          ";"Buurt     ";"BU19310107          ";"    74.1";"    45.0";"    13.8";"    21.4";"    48.7";"    78.1";"     8.6";"     5.4";"    25.2";"    26.5";"    16.1";"    11.5";"    20.3"
"18 jaar of ouder";"Waarde";"2022";"Lekdijk";"Krimpenerwaard                          ";"Buurt     ";"BU19310108          ";"    76.3";"    42.6";"    14.6";"    15.0";"    41.5";"    83.2";"     9.8";"     7.0";"    27.6";"    17.4";"    12.6";"     6.9";"     9.7"
"18 jaar of ouder";"Waarde";"2022";"Verspr. huizen Krimpen aan de Lek";"Krimpenerwaard                          ";"Buurt     ";"BU19310109          ";"    77.6";"    46.4";"    15.1";"    13.2";"    45.6";"    83.1";"     7.7";"     5.3";"    25.8";"    15.2";"    11.9";"     6.5";"     8.2"
"18 jaar of ouder";"Waarde";"2022";"Wijk 02 Ouderkerk aan den IJssel";"Krimpenerwaard                          ";"Wijk      ";"WK193102            ";"    73.5";"    40.7";"    16.7";"    14.2";"    45.9";"    80.2";"     9.0";"     6.7";"    29.4";"    17.1";"    14.4";"     6.9";"    10.4"
"18 jaar of ouder";"Waarde";"2022";"Ouderkerk aan den IJssel";"Krimpenerwaard                          ";"Buurt     ";"BU19310200          ";"    72.9";"    40.0";"    17.0";"    14.0";"    46.6";"    79.7";"     8.6";"     6.5";"    29.8";"    17.3";"    14.6";"     6.9";"    11.0"
"18 jaar of ouder";"Waarde";"2022";"Verspr. huizen Ouderkerk Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310208          ";"    74.4";"    42.2";"    16.6";"    15.1";"    44.1";"    81.7";"     9.8";"     7.1";"    28.7";"    17.0";"    14.1";"     7.2";"     9.4"
"18 jaar of ouder";"Waarde";"2022";"Verspr. huizen Ouderkerk Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310209          ";"    79.9";"    44.8";"    11.9";"    11.0";"    45.8";"    81.4";"    10.1";"     7.5";"    24.9";"    14.1";"    10.8";"     4.6";"     6.5"
"18 jaar of ouder";"Waarde";"2022";"Wijk 03 Gouderak";"Krimpenerwaard                          ";"Wijk      ";"WK193103            ";"    71.6";"    42.4";"    17.5";"    16.4";"    46.9";"    78.9";"     8.6";"     6.5";"    31.5";"    19.7";"    16.3";"     8.5";"    12.2"
"18 jaar of ouder";"Waarde";"2022";"Gouderak";"Krimpenerwaard                          ";"Buurt     ";"BU19310300          ";"    71.6";"    42.4";"    17.5";"    16.4";"    46.9";"    78.9";"     8.6";"     6.5";"    31.5";"    19.7";"    16.3";"     8.5";"    12.2"
"18 jaar of ouder";"Waarde";"2022";"Wijk 04 Bergambacht";"Krimpenerwaard                          ";"Wijk      ";"WK193104            ";"    71.3";"    42.5";"    16.8";"    14.7";"    49.6";"    76.8";"     8.7";"     6.4";"    32.5";"    18.6";"    15.5";"     7.9";"    11.5"
"18 jaar of ouder";"Waarde";"2022";"Bergambacht-Dorp";"Krimpenerwaard                          ";"Buurt     ";"BU19310400          ";"    71.6";"    42.4";"    14.8";"    13.6";"    48.1";"    79.7";"     8.8";"     6.8";"    32.9";"    17.9";"    14.2";"     7.1";"    11.2"
"18 jaar of ouder";"Waarde";"2022";"Kadijk en Kadijkselaan";"Krimpenerwaard                          ";"Buurt     ";"BU19310401          ";"    79.4";"    45.2";"    14.8";"    15.9";"    44.8";"    82.7";"    11.6";"     7.8";"    24.3";"    16.2";"    12.5";"     6.6";"     8.6"
"18 jaar of ouder";"Waarde";"2022";"Uitbreiding Dorp";"Krimpenerwaard                          ";"Buurt     ";"BU19310402          ";"    69.2";"    42.0";"    18.7";"    15.9";"    51.6";"    74.0";"     8.3";"     6.1";"    33.7";"    20.1";"    17.1";"     8.9";"    12.7"
"18 jaar of ouder";"Waarde";"2022";"Benedenberg en Zuidbroek";"Krimpenerwaard                          ";"Buurt     ";"BU19310403          ";"    79.0";"    45.3";"    12.0";"    10.8";"    44.6";"    83.5";"     9.7";"     7.7";"    28.7";"    12.9";"    10.6";"     4.4";"     7.3"
"18 jaar of ouder";"Waarde";"2022";"Tussenlanen";"Krimpenerwaard                          ";"Buurt     ";"BU19310404          ";"    79.1";"    43.7";"    12.6";"    11.2";"    45.6";"    82.6";"     9.2";"     6.8";"    25.6";"    13.3";"    11.1";"     5.1";"     7.1"
"18 jaar of ouder";"Waarde";"2022";"Bovenberg westelijk van de Fransekade";"Krimpenerwaard                          ";"Buurt     ";"BU19310409          ";"    79.8";"    45.0";"    11.1";"    11.3";"    41.6";"    85.7";"    10.1";"     7.1";"    25.5";"    13.3";"    10.3";"     5.0";"     7.1"
"18 jaar of ouder";"Waarde";"2022";"Wijk 05 Bergstoep";"Krimpenerwaard                          ";"Wijk      ";"WK193105            ";"    75.1";"    43.2";"    15.1";"    13.0";"    45.6";"    81.0";"     9.4";"     6.9";"    29.7";"    15.6";"    12.7";"     6.2";"     9.8"
"18 jaar of ouder";"Waarde";"2022";"Bergstoep";"Krimpenerwaard                          ";"Buurt     ";"BU19310500          ";"    74.6";"    43.1";"    15.5";"    13.4";"    46.0";"    80.7";"     9.4";"     6.8";"    29.9";"    16.0";"    13.1";"     6.4";"    10.2"
"18 jaar of ouder";"Waarde";"2022";"Lekdijk-West en Provinciale weg (ged.)";"Krimpenerwaard                          ";"Buurt     ";"BU19310501          ";"    77.7";"    42.8";"    13.9";"    11.8";"    45.1";"    82.0";"     9.3";"     7.6";"    27.1";"    14.7";"    11.6";"     5.9";"     8.8"
"18 jaar of ouder";"Waarde";"2022";"Lekdijk-Oost en Provinciale weg (ged.)";"Krimpenerwaard                          ";"Buurt     ";"BU19310502          ";"    79.0";"    47.4";"    12.6";"    13.9";"    40.2";"    84.6";"    12.3";"     8.1";"    26.0";"    15.4";"    11.9";"     6.3";"     8.8"
"18 jaar of ouder";"Waarde";"2022";"Bovenstad";"Krimpenerwaard                          ";"Buurt     ";"BU19310503          ";"    74.1";"    43.4";"    14.0";"    11.5";"    46.4";"    81.2";"     7.8";"     6.6";"    32.2";"    14.4";"    12.0";"     5.6";"     8.6"
"18 jaar of ouder";"Waarde";"2022";"Provinciale weg (ged.) De Hem en Hogedij";"Krimpenerwaard                          ";"Buurt     ";"BU19310504          ";"    77.5";"    42.5";"    15.8";"    12.0";"    43.6";"    80.5";"     9.2";"     6.4";"    28.9";"    14.3";"    11.7";"     5.5";"     8.8"
"18 jaar of ouder";"Waarde";"2022";"Wijk 06 Ammerstol";"Krimpenerwaard                          ";"Wijk      ";"WK193106            ";"    70.8";"    41.6";"    18.1";"    16.9";"    45.3";"    79.4";"     9.5";"     7.1";"    32.2";"    19.3";"    15.3";"     8.3";"    11.1"
"18 jaar of ouder";"Waarde";"2022";"Ammerstol";"Krimpenerwaard                          ";"Buurt     ";"BU19310600          ";"    70.8";"    41.6";"    18.1";"    16.9";"    45.3";"    79.4";"     9.5";"     7.1";"    32.2";"    19.3";"    15.3";"     8.3";"    11.1"
"18 jaar of ouder";"Waarde";"2022";"Wijk 07 Berkenwoude";"Krimpenerwaard                          ";"Wijk      ";"WK193107            ";"    76.4";"    42.2";"    14.5";"    12.4";"    49.3";"    79.6";"     8.5";"     6.8";"    28.3";"    16.0";"    13.3";"     6.0";"     8.8"
"18 jaar of ouder";"Waarde";"2022";"Berkenwoude";"Krimpenerwaard                          ";"Buurt     ";"BU19310700          ";"    76.0";"    42.0";"    14.6";"    12.6";"    48.6";"    80.4";"     8.5";"     6.9";"    28.4";"    16.4";"    13.3";"     6.2";"     9.0"
"18 jaar of ouder";"Waarde";"2022";"Achterbroek";"Krimpenerwaard                          ";"Buurt     ";"BU19310701          ";"    78.4";"    43.2";"    13.8";"    11.1";"    53.3";"    75.2";"     8.4";"     6.0";"    27.2";"    13.9";"    12.9";"     4.9";"     8.0"
"18 jaar of ouder";"Waarde";"2022";"Wijk 08 Haastrecht";"Krimpenerwaard                          ";"Wijk      ";"WK193108            ";"    72.6";"    44.4";"    15.5";"    14.1";"    43.7";"    79.9";"     9.4";"     7.0";"    30.9";"    17.3";"    13.9";"     7.0";"    10.5"
"18 jaar of ouder";"Waarde";"2022";"Haastrecht-Dorpskern";"Krimpenerwaard                          ";"Buurt     ";"BU19310800          ";"    75.4";"    46.0";"    14.2";"    14.2";"    40.6";"    82.3";"    10.2";"     7.3";"    29.7";"    17.1";"    12.8";"     7.0";"    10.1"
"18 jaar of ouder";"Waarde";"2022";"Boven-Haastrecht";"Krimpenerwaard                          ";"Buurt     ";"BU19310801          ";"    80.0";"    46.8";"    12.5";"    12.8";"    37.3";"    84.3";"    11.8";"     8.4";"    23.6";"    13.8";"    11.4";"     5.4";"     7.4"
"18 jaar of ouder";"Waarde";"2022";"Beneden-Haastrecht";"Krimpenerwaard                          ";"Buurt     ";"BU19310802          ";"    78.6";"    50.8";"    12.2";"    12.0";"    39.2";"    85.0";"     8.9";"     6.4";"    28.0";"    15.5";"    10.4";"     5.4";"     8.2"
"18 jaar of ouder";"Waarde";"2022";"Rozendaal";"Krimpenerwaard                          ";"Buurt     ";"BU19310803          ";"    77.6";"    47.2";"    13.1";"    15.1";"    38.4";"    82.6";"     9.9";"     7.4";"    28.1";"    12.9";"    11.0";"     4.4";"     9.7"
"18 jaar of ouder";"Waarde";"2022";"Stolwijkersluis (ged.)";"Krimpenerwaard                          ";"Buurt     ";"BU19310804          ";"    77.6";"    46.5";"    14.4";"    11.1";"    43.3";"    82.5";"     8.7";"     6.2";"    30.6";"    14.1";"    12.9";"     5.2";"     9.6"
"18 jaar of ouder";"Waarde";"2022";"Hofkamp";"Krimpenerwaard                          ";"Buurt     ";"BU19310805          ";"    71.0";"    43.0";"    13.3";"    10.3";"    50.6";"    77.7";"     7.5";"     6.5";"    33.1";"    15.6";"    13.3";"     5.9";"     9.9"
"18 jaar of ouder";"Waarde";"2022";"Agterpoort";"Krimpenerwaard                          ";"Buurt     ";"BU19310806          ";"    68.3";"    41.1";"    17.4";"    17.7";"    47.2";"    76.3";"     9.7";"     7.2";"    32.9";"    19.6";"    16.3";"     8.6";"    12.6"
"18 jaar of ouder";"Waarde";"2022";"Stein";"Krimpenerwaard                          ";"Buurt     ";"BU19310807          ";"    67.9";"    41.4";"    18.3";"    14.4";"    46.4";"    76.3";"     8.6";"     6.7";"    33.9";"    18.5";"    15.7";"     7.6";"    11.5"
"18 jaar of ouder";"Waarde";"2022";"Verspr. huizen Haastrecht Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310808          ";"    77.7";"    48.4";"    12.2";"    13.5";"    41.1";"    84.6";"    10.7";"     7.1";"    27.1";"    15.6";"    10.8";"     5.4";"     8.8"
"18 jaar of ouder";"Waarde";"2022";"Verspr. huizen Haastrecht Zuid";"Krimpenerwaard                          ";"Buurt     ";"BU19310809          ";"    80.3";"    47.1";"    11.1";"    13.2";"    39.1";"    83.8";"    12.8";"     8.0";"    25.5";"    15.3";"    11.7";"     6.4";"     8.2"
"18 jaar of ouder";"Waarde";"2022";"Bergvliet";"Krimpenerwaard                          ";"Buurt     ";"BU19310810          ";"    74.1";"    46.7";"    15.9";"    14.4";"    41.3";"    82.2";"     9.5";"     7.0";"    29.9";"    17.8";"    13.7";"     7.2";"    10.6"
"18 jaar of ouder";"Waarde";"2022";"Wijk 10 Stolwijk";"Krimpenerwaard                          ";"Wijk      ";"WK193110            ";"    73.6";"    43.8";"    15.5";"    14.0";"    45.3";"    79.4";"     9.4";"     6.9";"    29.6";"    17.3";"    14.3";"     7.3";"    10.1"
"18 jaar of ouder";"Waarde";"2022";"Stolwijk";"Krimpenerwaard                          ";"Buurt     ";"BU19311000          ";"    71.6";"    42.9";"    16.7";"    14.9";"    45.7";"    78.4";"     9.2";"     6.8";"    30.7";"    18.5";"    15.4";"     8.1";"    11.2"
"18 jaar of ouder";"Waarde";"2022";"Bovenkerk";"Krimpenerwaard                          ";"Buurt     ";"BU19311001          ";"    77.4";"    47.4";"    12.3";"    12.6";"    43.2";"    81.9";"     9.7";"     7.3";"    26.8";"    15.1";"    12.7";"     5.7";"     7.8"
"18 jaar of ouder";"Waarde";"2022";"Benedenkerk";"Krimpenerwaard                          ";"Buurt     ";"BU19311002          ";"    77.6";"    45.4";"    13.8";"    11.2";"    44.3";"    83.0";"     9.3";"     6.5";"    28.4";"    13.6";"    10.7";"     4.7";"     7.5"
"18 jaar of ouder";"Waarde";"2022";"Benedenheul";"Krimpenerwaard                          ";"Buurt     ";"BU19311003          ";"    80.0";"    43.8";"    11.8";"    11.9";"    45.6";"    81.3";"    10.9";"     7.5";"    25.1";"    14.7";"    12.1";"     5.4";"     8.0"
"18 jaar of ouder";"Waarde";"2022";"Goudseweg";"Krimpenerwaard                          ";"Buurt     ";"BU19311004          ";"    75.3";"    48.6";"    10.8";"     9.0";"    45.9";"    80.5";"     8.0";"     7.2";"    30.1";"    13.1";"    11.1";"     4.5";"     6.5"
"18 jaar of ouder";"Waarde";"2022";"Het Beijersche";"Krimpenerwaard                          ";"Buurt     ";"BU19311005          ";"    79.2";"    46.3";"    12.4";"    11.8";"    43.7";"    82.4";"    10.0";"     7.0";"    26.9";"    14.1";"    11.6";"     5.6";"     7.5"
"18 jaar of ouder";"Waarde";"2022";"Koolwijk";"Krimpenerwaard                          ";"Buurt     ";"BU19311006          ";"    80.6";"    45.8";"    14.0";"    11.5";"    47.7";"    81.9";"     8.4";"     6.2";"    25.9";"    13.6";"    11.4";"     5.0";"     7.0"
"18 jaar of ouder";"Waarde";"2022";"Schoonouwen";"Krimpenerwaard                          ";"Buurt     ";"BU19311007          ";"    78.7";"    46.4";"    12.0";"    13.1";"    46.3";"    81.2";"    10.2";"     7.9";"    26.8";"    15.2";"    12.4";"     5.4";"     7.4"
"18 jaar of ouder";"Waarde";"2022";"Bilwijk";"Krimpenerwaard                          ";"Buurt     ";"BU19311008          ";"    81.2";"    46.0";"    10.1";"    10.3";"    38.7";"    84.7";"    13.7";"     8.1";"    24.0";"    12.1";"     9.6";"     4.0";"     6.0"
"18 jaar of ouder";"Waarde";"2022";"Wijk 11 Vlist";"Krimpenerwaard                          ";"Wijk      ";"WK193111            ";"    76.8";"    44.6";"    14.1";"    15.4";"    43.2";"    80.3";"    10.6";"     6.9";"    25.7";"    15.4";"    13.8";"     5.9";"     9.6"
"18 jaar of ouder";"Waarde";"2022";"Vlist";"Krimpenerwaard                          ";"Buurt     ";"BU19311100          ";"    75.8";"    45.5";"    14.6";"    16.7";"    41.3";"    80.5";"    11.3";"     7.0";"    26.2";"    16.5";"    14.8";"     6.5";"    10.5"
"18 jaar of ouder";"Waarde";"2022";"Bonrepas";"Krimpenerwaard                          ";"Buurt     ";"BU19311101          ";"    81.6";"    40.8";"    11.8";"     9.4";"    51.8";"    79.7";"     7.4";"     6.3";"    23.3";"    10.4";"     9.5";"     3.0";"     5.8"
"18 jaar of ouder";"Waarde";"2022";"Wijk 12 Schoonhoven";"Krimpenerwaard                          ";"Wijk      ";"WK193112            ";"    70.1";"    43.1";"    17.0";"    15.8";"    47.5";"    76.2";"     8.7";"     6.3";"    32.8";"    20.3";"    16.5";"     9.2";"    12.8"
"18 jaar of ouder";"Waarde";"2022";"Schoonhoven-Oude Stad";"Krimpenerwaard                          ";"Buurt     ";"BU19311200          ";"    70.3";"    43.2";"    16.0";"    17.1";"    43.9";"    80.6";"     9.5";"     7.0";"    33.3";"    21.0";"    15.8";"     9.4";"    13.1"
"18 jaar of ouder";"Waarde";"2022";"Schoonhoven-Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19311201          ";"    64.0";"    40.1";"    19.8";"    17.1";"    55.8";"    66.4";"     7.7";"     5.4";"    35.6";"    23.6";"    20.9";"    11.7";"    15.8"
"18 jaar of ouder";"Waarde";"2022";"Schoonhoven-West";"Krimpenerwaard                          ";"Buurt     ";"BU19311202          ";"    68.5";"    42.6";"    18.0";"    15.1";"    51.6";"    72.3";"     7.8";"     5.9";"    34.5";"    20.4";"    17.3";"     9.4";"    13.2"
"18 jaar of ouder";"Waarde";"2022";"Zevender";"Krimpenerwaard                          ";"Buurt     ";"BU19311203          ";"    81.4";"    49.4";"    11.2";"    11.9";"    36.1";"    86.4";"    10.9";"     6.9";"    24.4";"    13.6";"    10.2";"     5.0";"     8.5"
"18 jaar of ouder";"Waarde";"2022";"Willige-Langerak";"Krimpenerwaard                          ";"Buurt     ";"BU19311204          ";"    75.7";"    45.5";"    15.5";"    14.4";"    41.5";"    82.2";"     9.6";"     6.4";"    28.5";"    17.4";"    13.6";"     7.4";"    10.1"
"18 jaar of ouder";"Waarde";"2022";"Vlist, Bovenberg en Lekdijk";"Krimpenerwaard                          ";"Buurt     ";"BU19311205          ";"    78.1";"    47.2";"    12.6";"    11.9";"    40.0";"    85.0";"    10.0";"     7.0";"    27.9";"    14.0";"    11.4";"     5.2";"     8.0"
"18 jaar of ouder";"Waarde";"2022";"Rotterdam";"Rotterdam                               ";"Gemeente  ";"GM0599              ";"    62.7";"    44.9";"    18.0";"    22.4";"    50.8";"    68.5";"     9.4";"     6.3";"    35.1";"    30.6";"    23.2";"    15.6";"    20.9"
"18 jaar of ouder";"Waarde";"2022";"Rotterdam Centrum";"Rotterdam                               ";"Wijk      ";"WK059901            ";"    68.6";"    52.4";"    12.2";"    23.3";"    37.5";"    78.3";"    13.3";"     8.3";"    30.3";"    30.5";"    20.5";"    15.1";"    20.3"
"18 jaar of ouder";"Waarde";"2022";"Stadsdriehoek";"Rotterdam                               ";"Buurt     ";"BU05990110          ";"    71.7";"    53.6";"    10.5";"    22.9";"    32.6";"    83.2";"    14.5";"     9.2";"    28.4";"    28.9";"    18.6";"    13.3";"    19.0"
"18 jaar of ouder";"Waarde";"2022";"Oude Westen";"Rotterdam                               ";"Buurt     ";"BU05990111          ";"    58.0";"    49.0";"    16.8";"    24.8";"    52.1";"    62.9";"    10.8";"     6.6";"    36.8";"    35.8";"    27.1";"    20.4";"    24.8"
"18 jaar of ouder";"Waarde";"2022";"Cool";"Rotterdam                               ";"Buurt     ";"BU05990112          ";"    69.7";"    53.6";"    11.5";"    24.3";"    35.4";"    80.0";"    13.5";"     8.2";"    29.1";"    30.4";"    19.6";"    14.6";"    20.4"
"18 jaar of ouder";"Waarde";"2022";"Cs Kwartier";"Rotterdam                               ";"Buurt     ";"BU05990113          ";"    73.1";"    54.6";"    10.4";"    22.1";"    33.5";"    83.8";"    12.5";"     8.4";"    27.4";"    27.4";"    17.4";"    13.4";"    20.0"
"18 jaar of ouder";"Waarde";"2022";"Nieuwe Werk";"Rotterdam                               ";"Buurt     ";"BU05990118          ";"    75.6";"    51.6";"    11.2";"    20.0";"    32.7";"    86.0";"    11.6";"     7.9";"    26.9";"    25.6";"    15.8";"    12.0";"    15.8"
"18 jaar of ouder";"Waarde";"2022";"Dijkzigt";"Rotterdam                               ";"Buurt     ";"BU05990119          ";"    74.5";"    54.4";"    10.3";"    22.2";"    27.2";"    87.3";"    17.3";"     9.4";"    25.8";"    29.6";"    17.4";"    14.5";"    15.7"
"18 jaar of ouder";"Waarde";"2022";"Delfshaven";"Rotterdam                               ";"Wijk      ";"WK059903            ";"    60.3";"    48.2";"    17.2";"    24.8";"    53.0";"    62.7";"    10.4";"     6.2";"    34.7";"    35.1";"    26.3";"    18.6";"    24.2"
"18 jaar of ouder";"Waarde";"2022";"Delfshaven";"Rotterdam                               ";"Buurt     ";"BU05990320          ";"    64.7";"    50.0";"    15.0";"    25.0";"    43.0";"    72.8";"    13.9";"     7.6";"    31.9";"    34.8";"    24.3";"    18.2";"    21.9"
