"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Alcoholgebruik.Overmatige.drinker...."
"1","18 jaar of ouder","Waarde",2022,"Krimpenerwaard",6.6
"2","18 jaar of ouder","Waarde",2022,"Rotterdam",6.3
