Leeftijd,Marges,Perioden,Wijken.en.buurten,Regioaanduiding.Gemeentenaam..naam.,Regioaanduiding.Soort.regio..omschrijving.,Regioaanduiding.Codering..code.,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
18 jaar of ouder,Waarde,2016,Lekdijk,Krimpenerwaard                          ,Buurt     ,BU19310108          ,    83.9,    46.0,    11.7,    17.0,    40.1,    86.2,     8.8,     6.4,    27.0,       .,       .,     3.8,     6.7
18 jaar of ouder,Waarde,2016,Verspr. huizen Krimpen aan de Lek,Krimpenerwaard                          ,Buurt     ,BU19310109          ,    85.1,    52.0,    11.3,    15.1,    39.6,    84.8,     8.8,     6.8,    27.4,       .,       .,     2.8,     5.9
18 jaar of ouder,Waarde,2016,Wijk 02 Ouderkerk aan den IJssel,Krimpenerwaard                          ,Wijk      ,WK193102            ,    80.3,    46.2,    14.1,    16.8,    42.9,    84.5,     9.3,     6.8,    30.7,       .,       .,     4.3,     6.7
18 jaar of ouder,Waarde,2016,Ouderkerk aan den IJssel,Krimpenerwaard                          ,Buurt     ,BU19310200          ,    79.8,    45.9,    14.0,    16.8,    43.2,    84.8,     9.2,     6.8,    31.2,       .,       .,     4.3,     7.0
18 jaar of ouder,Waarde,2016,Verspr. huizen Ouderkerk Noord,Krimpenerwaard                          ,Buurt     ,BU19310208          ,    81.3,    47.1,    14.5,    17.6,    41.8,    83.7,     9.6,     6.7,    29.6,       .,       .,     4.3,     6.3
18 jaar of ouder,Waarde,2016,Verspr. huizen Ouderkerk Oost,Krimpenerwaard                          ,Buurt     ,BU19310209          ,    85.9,    45.7,    12.3,    13.3,    44.1,    85.7,     8.0,     6.2,    26.1,       .,       .,     2.7,     4.5
18 jaar of ouder,Waarde,2016,Wijk 03 Gouderak,Krimpenerwaard                          ,Wijk      ,WK193103            ,    78.3,    48.4,    15.1,    19.2,    44.3,    81.1,     8.8,     6.7,    33.1,       .,       .,     5.4,     8.2
18 jaar of ouder,Waarde,2016,Gouderak,Krimpenerwaard                          ,Buurt     ,BU19310300          ,    78.3,    48.4,    15.1,    19.2,    44.3,    81.1,     8.8,     6.7,    33.1,       .,       .,     5.4,     8.2
18 jaar of ouder,Waarde,2016,Wijk 04 Bergambacht,Krimpenerwaard                          ,Wijk      ,WK193104            ,    78.3,    47.9,    14.3,    17.4,    46.2,    81.6,     8.8,     6.4,    32.0,       .,       .,     5.1,     7.8
18 jaar of ouder,Waarde,2016,Bergambacht-Dorp,Krimpenerwaard                          ,Buurt     ,BU19310400          ,    77.3,    47.7,    13.1,    15.5,    45.3,    83.6,     8.6,     6.5,    33.2,       .,       .,     4.6,     7.6
18 jaar of ouder,Waarde,2016,Kadijk en Kadijkselaan,Krimpenerwaard                          ,Buurt     ,BU19310401          ,    84.1,    48.2,    11.9,    17.1,    42.5,    86.6,    10.4,     7.3,    25.9,       .,       .,     3.5,     5.8
18 jaar of ouder,Waarde,2016,Uitbreiding Dorp,Krimpenerwaard                          ,Buurt     ,BU19310402          ,    77.3,    48.3,    15.4,    18.7,    47.5,    79.9,     8.8,     6.2,    32.6,       .,       .,     5.7,     8.5
18 jaar of ouder,Waarde,2016,Benedenberg en Zuidbroek,Krimpenerwaard                          ,Buurt     ,BU19310403          ,    84.3,    46.7,    11.5,    13.7,    41.3,    85.9,     9.1,     7.0,    27.7,       .,       .,     3.0,     5.0
18 jaar of ouder,Waarde,2016,Tussenlanen,Krimpenerwaard                          ,Buurt     ,BU19310404          ,    82.7,    44.8,    11.0,    14.1,    45.5,    85.6,     8.7,     6.7,    27.7,       .,       .,     3.3,     4.8
18 jaar of ouder,Waarde,2016,Bovenberg westelijk van de Fransekade,Krimpenerwaard                          ,Buurt     ,BU19310409          ,    84.6,    47.0,    10.5,    14.8,    39.6,    87.3,     8.4,     6.9,    28.8,       .,       .,     3.0,     4.9
