"","...1.x","Leeftijd.x","Marges.x","Perioden.x","Wijken.en.buurten","Alcoholgebruik.Overmatige.drinker.....x","...1.y","Leeftijd.y","Marges.y","Perioden.y","Alcoholgebruik.Overmatige.drinker.....y"
"1",1,"18 jaar of ouder","Waarde",2020,"Krimpenerwaard",5.8,1,"18 jaar of ouder","Waarde",2022,6.6
"2",2,"18 jaar of ouder","Waarde",2020,"Rotterdam",5.4,2,"18 jaar of ouder","Waarde",2022,6.3
