"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Alcoholgebruik.Overmatige.drinker...."
"1","18 jaar of ouder","Waarde",2020,"Krimpenerwaard",5.8
"2","18 jaar of ouder","Waarde",2020,"Rotterdam",5.4
